Partition #3 -> Partition (NTFS, ??? b, 169 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 42043424, MFT mirror offset: None)
Partition #9 -> Partition (NTFS, ??? b, 50 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 388890648, MFT mirror offset: None)
Partition #24 -> Partition (NTFS, ??? b, 109 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 30146648, MFT mirror offset: None)
Partition #49 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 388890808, MFT mirror offset: None)
Partition #78 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 388890904, MFT mirror offset: None)
Partition #99 -> Partition (NTFS, ??? b, 12 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 57934192, MFT mirror offset: None)
Partition #102 -> Partition (NTFS, ??? b, 19 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 402347680, MFT mirror offset: None)
Partition #130 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 388891096, MFT mirror offset: None)
Partition #135 -> Partition (NTFS, ??? b, 52 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 20329952, MFT mirror offset: None)
Partition #151 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 388891192, MFT mirror offset: None)
Partition #164 -> Partition (NTFS, ??? b, 16 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 291449592, MFT mirror offset: None)
Partition #171 -> Partition (NTFS, ??? b, 20 files, Recoverable, Offset: 206848, Offset (b): 105906176, Sec/Clus: 8, MFT offset: 48341448, MFT mirror offset: None)
